user_id,generation_id,original_post_id,original_text,stimulus,generation_index,generated_text,similarity_scores,rouge1_fmeasure,rouge1_recall,rouge1_precision,rouge2_fmeasure,rouge2_recall,rouge2_precision,rougel_fmeasure,rougel_recall,rougel_precision,llm_evaluation_authenticity,llm_evaluation_style_consistency,llm_evaluation_matching_intent,persona_general_decription,persona_brevity_style,persona_language_formality,persona_narrative_voice,persona_vocabulary_range,persona_punctuation_style,persona_controversy_handling,persona_community_role,persona_content_triggers,persona_reaction_patterns,persona_message_effectiveness,persona_opinion_expression,persona_emotional_expression,persona_cognitive_patterns,persona_social_orientation,persona_conflict_approach,persona_value_signals,persona_identity_projection,persona_belief_expression,persona_stress_indicators,persona_adaptability_signs,persona_authenticity_markers
0_7000,1738561381883905792_gen_0,1738561381883905792,Wouldn't it be amazing if President Trump became the New Speaker of the House?,Question: Speculation about the possibility of President Trump becoming the new Speaker of the House.,0,,0.7327151298522949,0.43749999999999994,0.4666666666666667,0.4117647058823529,0.26666666666666666,0.2857142857142857,0.25,0.43749999999999994,0.4666666666666667,0.4117647058823529,7,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
0_7000,1738561381883905792_gen_1,1738561381883905792,Wouldn't it be amazing if President Trump became the New Speaker of the House?,Question: Speculation about the possibility of President Trump becoming the new Speaker of the House.,1,,0.7327151298522949,0.43749999999999994,0.4666666666666667,0.4117647058823529,0.26666666666666666,0.2857142857142857,0.25,0.43749999999999994,0.4666666666666667,0.4117647058823529,7,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
0_7000,1738561381883905792_gen_2,1738561381883905792,Wouldn't it be amazing if President Trump became the New Speaker of the House?,Question: Speculation about the possibility of President Trump becoming the new Speaker of the House.,2,,0.7327151298522949,0.43749999999999994,0.4666666666666667,0.4117647058823529,0.26666666666666666,0.2857142857142857,0.25,0.43749999999999994,0.4666666666666667,0.4117647058823529,7,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
0_7000,1738561381883905792_gen_3,1738561381883905792,Wouldn't it be amazing if President Trump became the New Speaker of the House?,Question: Speculation about the possibility of President Trump becoming the new Speaker of the House.,3,,0.7327151298522949,0.43749999999999994,0.4666666666666667,0.4117647058823529,0.26666666666666666,0.2857142857142857,0.25,0.43749999999999994,0.4666666666666667,0.4117647058823529,7,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
0_7000,1738561381883905792_gen_4,1738561381883905792,Wouldn't it be amazing if President Trump became the New Speaker of the House?,Question: Speculation about the possibility of President Trump becoming the new Speaker of the House.,4,,0.7327151298522949,0.43749999999999994,0.4666666666666667,0.4117647058823529,0.26666666666666666,0.2857142857142857,0.25,0.43749999999999994,0.4666666666666667,0.4117647058823529,7,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
1_7001,1738561381883997953_gen_0,1738561381883997953,Something is very broken in our country when several million people vote to make Fetterman a U.S. senator.,Comment: The topic is about the election of John Fetterman as a U.S. senator and the significant number of votes he received.,0,,0.8265926241874695,0.375,0.47368421052631576,0.3103448275862069,0.13043478260869565,0.16666666666666666,0.10714285714285714,0.20833333333333334,0.2631578947368421,0.1724137931034483,7,8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
1_7001,1738561381883997953_gen_1,1738561381883997953,Something is very broken in our country when several million people vote to make Fetterman a U.S. senator.,Comment: The topic is about the election of John Fetterman as a U.S. senator and the significant number of votes he received.,1,,0.8265926241874695,0.375,0.47368421052631576,0.3103448275862069,0.13043478260869565,0.16666666666666666,0.10714285714285714,0.20833333333333334,0.2631578947368421,0.1724137931034483,7,8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
1_7001,1738561381883997953_gen_2,1738561381883997953,Something is very broken in our country when several million people vote to make Fetterman a U.S. senator.,Comment: The topic is about the election of John Fetterman as a U.S. senator and the significant number of votes he received.,2,,0.8265926241874695,0.375,0.47368421052631576,0.3103448275862069,0.13043478260869565,0.16666666666666666,0.10714285714285714,0.20833333333333334,0.2631578947368421,0.1724137931034483,7,8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
1_7001,1738561381883997953_gen_3,1738561381883997953,Something is very broken in our country when several million people vote to make Fetterman a U.S. senator.,Comment: The topic is about the election of John Fetterman as a U.S. senator and the significant number of votes he received.,3,,0.8265926241874695,0.375,0.47368421052631576,0.3103448275862069,0.13043478260869565,0.16666666666666666,0.10714285714285714,0.20833333333333334,0.2631578947368421,0.1724137931034483,7,8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
1_7001,1738561381883997953_gen_4,1738561381883997953,Something is very broken in our country when several million people vote to make Fetterman a U.S. senator.,Comment: The topic is about the election of John Fetterman as a U.S. senator and the significant number of votes he received.,4,,0.8265926241874695,0.375,0.47368421052631576,0.3103448275862069,0.13043478260869565,0.16666666666666666,0.10714285714285714,0.20833333333333334,0.2631578947368421,0.1724137931034483,7,8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
